N,amplitude,shift,seed,initial_cost,final_cost,time_seconds
5,0.005,0.2,3,30158,8786,0.035529499873518944
5,0.005,0.2,4,30158,8786,0.04052360006608069
5,0.005,0.25,0,30104,8801,0.04536430002190173
5,0.005,0.25,1,30104,8801,0.04441990004852414
5,0.005,0.25,2,30104,8801,0.039304699981585145
5,0.005,0.25,3,30104,8801,0.03637750004418194
5,0.005,0.25,4,30104,8801,0.042447200044989586
5,0.005,0.29,0,29235,8782,0.04150109994225204
5,0.005,0.29,1,29235,8782,0.02369519998319447
5,0.005,0.29,2,29235,8782,0.029384300112724304
5,0.005,0.29,3,29235,8782,0.04279619990848005
5,0.005,0.29,4,29235,8782,0.039209899958223104
5,0.005,0.33,0,29171,8616,0.044253299944102764
5,0.005,0.33,1,29171,8616,0.0274359998293221
5,0.005,0.33,2,29171,8616,0.02688540006056428
5,0.005,0.33,3,29171,8616,0.04239919991232455
5,0.005,0.33,4,29171,8616,0.03592149983160198
5,0.01,0.2,0,30158,8786,0.031198699958622456
5,0.01,0.2,1,30158,8786,0.04207990015856922
5,0.01,0.2,2,30158,8786,0.038908100221306086
5,0.01,0.2,3,30158,8786,0.021134200040251017
5,0.01,0.2,4,30158,8786,0.019113800022751093
5,0.01,0.25,0,30104,8801,0.02614770014770329
5,0.01,0.25,1,30104,8801,0.03797000017948449
5,0.01,0.25,2,30104,8801,0.0438894999679178
5,0.01,0.25,3,30104,8801,0.04524230002425611
5,0.01,0.25,4,30104,8801,0.0314709001686424
5,0.01,0.29,0,29235,8782,0.02632140018977225
5,0.01,0.29,1,29235,8782,0.033329700119793415
5,0.01,0.29,2,29235,8782,0.03187120007351041
5,0.01,0.29,3,29235,8782,0.04049929999746382
5,0.01,0.29,4,29235,8782,0.027676399797201157
5,0.01,0.33,0,29171,8616,0.040080200182273984
5,0.01,0.33,1,29171,8616,0.035081000067293644
5,0.01,0.33,2,29171,8616,0.03582830005325377
5,0.01,0.33,3,29171,8616,0.043756899889558554
5,0.01,0.33,4,29171,8616,0.04127729986794293
7,0.002,0.2,0,30481,8918,0.04232210014015436
7,0.002,0.2,1,30481,8918,0.042658699909225106
7,0.002,0.2,2,30481,8918,0.03776740003377199
7,0.002,0.2,3,30481,8918,0.03809779998846352
7,0.002,0.2,4,30481,8918,0.019519700203090906
7,0.002,0.25,0,30165,8952,0.021874500205740333
7,0.002,0.25,1,30165,8952,0.02040490019135177
7,0.002,0.25,2,30165,8952,0.03831259999424219
7,0.002,0.25,3,30165,8952,0.039902100106701255
7,0.002,0.25,4,30165,8952,0.01832470018416643
7,0.002,0.29,0,30111,8952,0.022150499979034066
7,0.002,0.29,1,30111,8952,0.03207110008224845
7,0.002,0.29,2,30111,8952,0.03918099985457957
7,0.002,0.29,3,30111,8952,0.03953639999963343
7,0.002,0.29,4,30111,8952,0.040281099965795875
7,0.002,0.33,0,30103,8617,0.03376699984073639
7,0.002,0.33,1,30103,8617,0.031105099944397807
7,0.002,0.33,2,30103,8617,0.037993700010702014
7,0.002,0.33,3,30103,8617,0.04044420015998185
7,0.002,0.33,4,30103,8617,0.024007500149309635
7,0.003,0.2,0,30481,8918,0.02527159987948835
7,0.003,0.2,1,30481,8918,0.03060250007547438
7,0.003,0.2,2,30481,8918,0.035883900010958314
7,0.003,0.2,3,30481,8918,0.032035900047048926
7,0.003,0.2,4,30481,8918,0.043678499991074204
7,0.003,0.25,0,30165,8952,0.03831110009923577
7,0.003,0.25,1,30165,8952,0.03891190001741052
7,0.003,0.25,2,30165,8952,0.038666100008413196
7,0.003,0.25,3,30165,8952,0.03717199992388487
7,0.003,0.25,4,30165,8952,0.026933599961921573
7,0.003,0.29,0,30111,8952,0.039364400086924434
7,0.003,0.29,1,30111,8952,0.03860609978437424
7,0.003,0.29,2,30111,8952,0.036239299923181534
7,0.003,0.29,3,30111,8952,0.037752300035208464
7,0.003,0.29,4,30111,8952,0.03265330009162426
7,0.003,0.33,0,30103,8617,0.026075799949467182
7,0.003,0.33,1,30103,8617,0.02828820003196597
7,0.003,0.33,2,30103,8617,0.024988799821585417
7,0.003,0.33,3,30103,8617,0.04189989995211363
7,0.003,0.33,4,30103,8617,0.024525699904188514
7,0.005,0.2,0,30481,8918,0.019123900216072798
7,0.005,0.2,1,30481,8918,0.03610380017198622
7,0.005,0.2,2,30481,8918,0.039784699911251664
7,0.005,0.2,3,30481,8918,0.039725499926134944
7,0.005,0.2,4,30481,8918,0.04191999998874962
7,0.005,0.25,0,30165,8952,0.0302348998375237
7,0.005,0.25,1,30165,8952,0.03202240006066859
7,0.005,0.25,2,30165,8952,0.037010000087320805
7,0.005,0.25,3,30165,8952,0.03860579989850521
7,0.005,0.25,4,30165,8952,0.02492329990491271
7,0.005,0.29,0,30111,8952,0.03632330009713769
7,0.005,0.29,1,30111,8952,0.03462040005251765
7,0.005,0.29,2,30111,8952,0.03954400005750358
7,0.005,0.29,3,30111,8952,0.038739100098609924
7,0.005,0.29,4,30111,8952,0.03737669996917248
7,0.005,0.33,0,30103,8617,0.039822999853640795
7,0.005,0.33,1,30103,8617,0.0337378999684006
7,0.005,0.33,2,30103,8617,0.019663400016725063
7,0.005,0.33,3,30103,8617,0.035960499895736575
7,0.005,0.33,4,30103,8617,0.04248520010150969
7,0.01,0.2,0,30481,8918,0.04135980014689267
7,0.01,0.2,1,30481,8918,0.0383733999915421
7,0.01,0.2,2,30481,8918,0.040857299929484725
7,0.01,0.2,3,30481,8918,0.02795960009098053
7,0.01,0.2,4,30481,8918,0.01907859998755157
7,0.01,0.25,0,30165,8952,0.03671989985741675
7,0.01,0.25,1,30165,8952,0.03374049998819828
7,0.01,0.25,2,30165,8952,0.031047199852764606
7,0.01,0.25,3,30165,8952,0.03254189994186163
7,0.01,0.25,4,30165,8952,0.03112229984253645
7,0.01,0.29,0,30111,8952,0.03904470009729266
7,0.01,0.29,1,30111,8952,0.03864490007981658
7,0.01,0.29,2,30111,8952,0.03883590013720095
7,0.01,0.29,3,30111,8952,0.03639430017210543
