N,amplitude,shift,seed,initial_cost,final_cost,time_seconds
10,0.003,0.33,0,30788,8370,0.051915999967604876
10,0.003,0.33,1,30788,8370,0.07653479999862611
10,0.003,0.33,2,30788,8370,0.06683270004577935
10,0.003,0.33,3,30788,8370,0.07240559998899698
10,0.003,0.33,4,30788,8370,0.052047399803996086
