N,amplitude,shift,seed,initial_cost,final_cost,time_seconds
8,0.003,0.35,4,29999,8754,0.03711949987336993
8,0.003,0.35,5,29999,8754,0.032294799806550145
8,0.003,0.35,6,29999,8754,0.033419499872252345
8,0.003,0.35,7,29999,8754,0.03450950002297759
8,0.003,0.35,8,29999,8754,0.03376480005681515
8,0.003,0.35,9,29999,8754,0.03569899988360703
8,0.005,0.31,0,31466,8754,0.03433150006458163
8,0.005,0.31,1,31466,8754,0.03586319996975362
8,0.005,0.31,2,31466,8754,0.02641300018876791
8,0.005,0.31,3,31466,8754,0.024115600157529116
8,0.005,0.31,4,31466,8754,0.026561300037428737
8,0.005,0.31,5,31466,8754,0.049890599912032485
8,0.005,0.31,6,31466,8754,0.02602249989286065
8,0.005,0.31,7,31466,8754,0.04374819993972778
8,0.005,0.31,8,31466,8754,0.07466430007480085
8,0.005,0.31,9,31466,8754,0.09216320002451539
8,0.005,0.32,0,31466,8754,0.10615699994377792
8,0.005,0.32,1,31466,8754,0.05696810013614595
8,0.005,0.32,2,31466,8754,0.08584690000861883
8,0.005,0.32,3,31466,8754,0.051596400095149875
8,0.005,0.32,4,31466,8754,0.031386599875986576
8,0.005,0.32,5,31466,8754,0.07616269984282553
8,0.005,0.32,6,31466,8754,0.08372759982012212
8,0.005,0.32,7,31466,8754,0.03925909986719489
8,0.005,0.32,8,31466,8754,0.03450879990123212
8,0.005,0.32,9,31466,8754,0.056541800033301115
8,0.005,0.33,0,31466,8754,0.06010329979471862
8,0.005,0.33,1,31466,8754,0.04240729985758662
8,0.005,0.33,2,31466,8754,0.046518499962985516
8,0.005,0.33,3,31466,8754,0.10475960001349449
8,0.005,0.33,4,31466,8754,0.07542450004257262
8,0.005,0.33,5,31466,8754,0.06896850001066923
8,0.005,0.33,6,31466,8754,0.019476399989798665
8,0.005,0.33,7,31466,8754,0.021191000007092953
8,0.005,0.33,8,31466,8754,0.011925900122150779
8,0.005,0.33,9,31466,8754,0.012392000062391162
8,0.005,0.34,0,29999,8754,0.012911000056192279
8,0.005,0.34,1,29999,8754,0.022607200080528855
8,0.005,0.34,2,29999,8754,0.024026900064200163
8,0.005,0.34,3,29999,8754,0.02317059994675219
8,0.005,0.34,4,29999,8754,0.021227900171652436
8,0.005,0.34,5,29999,8754,0.011946299811825156
8,0.005,0.34,6,29999,8754,0.011965899961069226
8,0.005,0.34,7,29999,8754,0.011327299987897277
8,0.005,0.34,8,29999,8754,0.028792800148949027
8,0.005,0.34,9,29999,8754,0.015818499960005283
8,0.005,0.35,0,29999,8754,0.017987200058996677
8,0.005,0.35,1,29999,8754,0.018211100017651916
